Date,Price,Open,High,Low,Vol,Change,left,right,Volume
"Mar 14, 2012",5.4,5.3,5.4,5.3,62.89K,2.09%,62.89,K,62890
"Mar 13, 2012",5.3,4.9,5.4,4.9,127.33K,7.77%,127.33,K,127330
"Mar 12, 2012",4.9,4.9,4.9,4.9,22.05K,0.00%,22.05,K,22050
"Mar 11, 2012",4.9,4.8,5,4.8,42.44K,1.66%,42.44,K,42440
"Mar 10, 2012",4.8,4.9,4.9,4.8,28.07K,0.00%,28.07,K,28070
"Mar 09, 2012",4.9,4.9,4.9,4.8,32.72K,-1.42%,32.72,K,32720
"Mar 08, 2012",4.9,4.9,5,4.8,58.09K,0.00%,58.09,K,58090
"Mar 07, 2012",4.9,5,5.1,4.8,46.17K,0.00%,46.17,K,46170
"Mar 06, 2012",5,5,5.1,4.9,44.53K,0.00%,44.53,K,44530
"Mar 05, 2012",5,4.8,5.1,4.8,65.83K,3.32%,65.83,K,65830
"Mar 04, 2012",4.8,4.6,4.9,4.6,58.83K,4.56%,58.83,K,58830
"Mar 03, 2012",4.6,4.7,4.8,4.5,40.08K,-1.91%,40.08,K,40080
"Mar 02, 2012",4.7,4.9,4.9,4.5,130.77K,-4.47%,130.77,K,130770
"Mar 01, 2012",4.9,4.9,5,4.9,44.18K,1.23%,44.18,K,44180
"Feb 29, 2012",4.9,4.9,4.9,4.8,26.54K,0.00%,26.54,K,26540
"Feb 28, 2012",4.9,5,5,4.7,62.69K,-1.81%,62.69,K,62690
"Feb 27, 2012",5,4.9,5,4.9,29.37K,0.00%,29.37,K,29370
"Feb 26, 2012",4.9,4.8,5.1,4.8,70.04K,3.14%,70.04,K,70040
"Feb 25, 2012",4.8,5,5.1,4.7,86.16K,-5.17%,86.16,K,86160
"Feb 24, 2012",5,5,5.1,4.8,89.83K,0.00%,89.83,K,89830
