Height,Sum,Time
51728,['2.49'],2010-04-18 17:57:26
51728,['0.34'],2010-04-18 17:57:26
51728,['0.33'],2010-04-18 17:57:26
51728,['2.48'],2010-04-18 17:57:26
51728,['2.47'],2010-04-18 17:57:26
51728,['2.46'],2010-04-18 17:57:26
51728,['2.45'],2010-04-18 17:57:26
51728,['0.32'],2010-04-18 17:57:26
51728,['2.44'],2010-04-18 17:57:26
51728,['0.31'],2010-04-18 17:57:26
51728,['0.3'],2010-04-18 17:57:26
51728,['0.29'],2010-04-18 17:57:26
51728,['2.43'],2010-04-18 17:57:26
51728,['0.28'],2010-04-18 17:57:26
51728,['0.27'],2010-04-18 17:57:26
51728,['2.42'],2010-04-18 17:57:26
51728,['2.41'],2010-04-18 17:57:26
51728,['0.26'],2010-04-18 17:57:26
51728,['0.25'],2010-04-18 17:57:26
51728,['2.4'],2010-04-18 17:57:26
51728,['0.24'],2010-04-18 17:57:26
51728,['2.39'],2010-04-18 17:57:26
51728,['0.23'],2010-04-18 17:57:26
51728,['0.22'],2010-04-18 17:57:26
51728,['0.21'],2010-04-18 17:57:26
51728,['2.38'],2010-04-18 17:57:26
51728,['2.37'],2010-04-18 17:57:26
51728,['0.2'],2010-04-18 17:57:26
51728,['0.19'],2010-04-18 17:57:26
51728,['2.36'],2010-04-18 17:57:26
51728,['0.18'],2010-04-18 17:57:26
51728,['2.35'],2010-04-18 17:57:26
51728,['2.34'],2010-04-18 17:57:26
51728,['2.33'],2010-04-18 17:57:26
51728,['0.17'],2010-04-18 17:57:26
51728,['0.16'],2010-04-18 17:57:26
51728,['0.15'],2010-04-18 17:57:26
51728,['2.32'],2010-04-18 17:57:26
51728,['0.14'],2010-04-18 17:57:26
51728,['0.13'],2010-04-18 17:57:26
51728,['0.12'],2010-04-18 17:57:26
51728,['2.31'],2010-04-18 17:57:26
51728,['0.11'],2010-04-18 17:57:26
51728,['2.3'],2010-04-18 17:57:26
51728,['0.1'],2010-04-18 17:57:26
51728,['2.29'],2010-04-18 17:57:26
51728,['0.09'],2010-04-18 17:57:26
51728,['2.28'],2010-04-18 17:57:26
51728,['0.08'],2010-04-18 17:57:26
51728,['2.27'],2010-04-18 17:57:26
51728,['2.26'],2010-04-18 17:57:26
51728,['0.07'],2010-04-18 17:57:26
51728,['0.06'],2010-04-18 17:57:26
51728,['2.25'],2010-04-18 17:57:26
51728,['0.05'],2010-04-18 17:57:26
51728,['2.24'],2010-04-18 17:57:26
51728,['2.23'],2010-04-18 17:57:26
51728,['2.22'],2010-04-18 17:57:26
51728,['0.04'],2010-04-18 17:57:26
51728,['2.21'],2010-04-18 17:57:26
51728,['2.2'],2010-04-18 17:57:26
51728,['0.03'],2010-04-18 17:57:26
51728,['2.19'],2010-04-18 17:57:26
51728,['0.02'],2010-04-18 17:57:26
51728,['2.18'],2010-04-18 17:57:26
51728,['0.01'],2010-04-18 17:57:26
51728,['2.17'],2010-04-18 17:57:26
51728,['2.16'],2010-04-18 17:57:26
